Site,Use,Depth,TotalRoot,SumFine,SumCoarse,Pitwidth,FracFine,FracCoarse,FracTotal,ppt,temp,pet,ari,ep,pptpet
TRB,N,0,29,25,4,39,0.6410256410256411,0.10256410256410256,0.7435897435897436,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,1,36,28,8,39,0.717948717948718,0.20512820512820512,0.9230769230769231,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,2,37,28,9,39,0.717948717948718,0.23076923076923078,0.9487179487179487,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,3,37,29,8,39,0.7435897435897436,0.20512820512820512,0.9487179487179487,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,4,30,22,8,39,0.5641025641025641,0.20512820512820512,0.7692307692307693,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,5,30,23,7,39,0.5897435897435898,0.1794871794871795,0.7692307692307693,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,6,31,26,5,39,0.6666666666666666,0.1282051282051282,0.7948717948717948,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,7,29,26,3,39,0.6666666666666666,0.07692307692307693,0.7435897435897436,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,8,30,25,5,39,0.6410256410256411,0.1282051282051282,0.7692307692307693,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,9,28,24,4,39,0.6153846153846154,0.10256410256410256,0.717948717948718,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,10,36,31,5,39,0.7948717948717948,0.1282051282051282,0.9230769230769231,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
