ID,Site,Use,Horizon,MidDepth,eoc,moisture,avgaggL021,avgagg021_1,avgagg1_2,avgagg2_476,avgaggM476,sdaggL021,sdagg021_1,sdagg1_2,sdagg2_476,sdaggM476,avgaggOCL021,avgaggOC021_1,avgaggOC1_2,avgaggOC2_476,avgaggOCM476,sdaggOCL021,sdaggOC021_1,sdaggOC1_2,sdaggOC2_476,sdaggOCM476,micro,intmacro,macro,sdmicro,sdintmacro,sdmacro,microOC,intmacroOC,macroOC,sdmicroOC,sdintmacroOC,sdmacroOC,avgMAD,sdMAD
EKS_APT_S0H1,EKS,A,S0H1,7.5,2.8,0.179509632,0.13710372866666667,0.38019193966666665,0.32049495899999997,0.15391428166666668,0.007979708,0.043442007439614766,0.014264608242372127,0.02403812256084831,0.028901413842959075,0.005435774168482075,4.896561738095238,13.578283559523811,11.446248535714286,5.496938630952381,0.28498957142857145,1.5515002657005277,0.5094502943704329,0.8585043771731543,1.0321933515342527,0.19413479173150272,0.13710372866666667,0.8546011803333333,0.007979708,0.043442007439614766,0.03952858996074216,0.005435774168482075,4.896561738095238,30.52147072619048,0.28498957142857145,1.5515002657005277,1.411735355740789,0.19413479173150272,0.5963957984445671,0.12960870094687746
EKS_APT_S0H2,EKS,A,S0H2,25.5,2.1,0.123144105,0.21406673166666668,0.494686537,0.21631269266666667,0.068130405,0.006580012666666667,0.05973557231741521,0.05176318653008496,0.06613209049812238,0.04104962562406455,0.003473420289663538,10.193653888888889,23.55650176190476,10.300604412698412,3.2443049999999998,0.3133339365079365,2.8445510627340576,2.4649136442897603,3.149147166577256,1.9547440773364069,0.16540096617445418,0.21406673166666668,0.7791296346666667,0.006580012666666667,0.05973557231741521,0.05775189837106051,0.003473420289663538,10.193653888888889,37.10141117460317,0.3133339365079365,2.8445510627340576,2.7500903986219236,0.16540096617445418,0.3618154262069327,0.12882264917555747
EKS_APT_S0H3,EKS,A,S0H3,43,1.6,0.223539373,0.07236910666666667,0.4215469096666667,0.424461207,0.08087254533333334,5.889303333333334e-4,0.005263252157410122,0.0270003802269493,0.021719763188059175,0.010874620021234781,0.0010200572594518081,4.523069166666667,26.34668185416667,26.5288254375,5.054534083333333,0.03680814583333333,0.32895325983813273,1.687523764184332,1.3574851992536983,0.6796637513271739,0.063753578715738,0.07236910666666667,0.926880662,5.889303333333334e-4,0.005263252157410122,0.0057971403996809525,0.0010200572594518081,4.523069166666667,57.930041375,0.03680814583333333,0.32895325983813273,0.36232127498005356,0.063753578715738,0.6907580179339765,0.04246571609731311
EKS_APT_S0H4,EKS,A,S0H4,62.5,1.3,0.232596233,0.05638327266666667,0.20862352766666667,0.4414688196666667,0.28296014,0.010280853666666666,0.033068087469847914,0.0507097475633469,0.08118789709217075,0.09806818666456586,0.013822059512040972,4.33717482051282,16.047963666666664,33.95913997435897,21.766164615384614,0.7908348974358974,2.5436990361421468,3.9007498125651465,6.245222853243903,7.543706666505065,1.0632353470800748,0.05638327266666667,0.9330524873333333,0.010280853666666666,0.033068087469847914,0.046515674557307596,0.013822059512040972,4.33717482051282,71.77326825641025,0.7908348974358974,2.5436990361421468,3.5781288121005796,1.0632353470800748,1.129209977255502,0.2507910403168577
EKS_APT_S0H5,EKS,A,S0H5,98,0.7,0.302065404,0.054047242,0.17552577533333333,0.4540240413333333,0.309313501,0.006810738,0.012309546760970165,0.02535129546132596,0.06635516134956555,0.0967413879465857,0.007942664394698545,7.721034571428572,25.075110761904767,64.86057733333334,44.187643,0.9729625714285716,1.7585066801385951,3.6216136373322807,9.479308764223651,13.820198278083671,1.1346663420997922,0.054047242,0.9388633176666668,0.006810738,0.012309546760970165,0.018193795264071024,0.007942664394698545,7.721034571428572,134.12333109523811,0.9729625714285716,1.7585066801385951,2.599113609152999,1.1346663420997922,1.1925159798809999,0.16387167375516962
EKS_APT_S0H6,EKS,A,S0H6,136.5,0.4,0.262195122,0.07072086,0.19832919699999998,0.4487792523333333,0.27429821266666665,0.007693661333333333,0.00956581616029124,0.019485416190314568,0.03757269999490156,0.018700365708393403,0.005881392522661307,17.680215,49.58229925,112.19481308333333,68.57455316666666,1.9234153333333333,2.3914540400728104,4.871354047578644,9.393174998725392,4.675091427098348,1.4703481306653268,0.07072086,0.921406662,0.007693661333333333,0.00956581616029124,0.00518962885750912,0.005881392522661307,17.680215,230.3516655,1.9234153333333333,2.3914540400728104,1.2974072143772806,1.4703481306653268,1.0483719558076703,0.033380464483242965
EKS_APT_S0H7,EKS,A,S0H7,162.5,0.3,0.241989882,0.107036917,0.13197186700000002,0.32515768366666664,0.4324803983333333,6.08117e-4,0.06804511169929504,0.05739603111150257,0.1255090520736349,0.15441230959675759,0.001053289540946363,35.678972333333334,43.990622333333334,108.38589455555555,144.16013277777776,0.20270566666666667,22.681703899765015,19.132010370500854,41.83635069121165,51.47076986558586,0.3510965136487877,0.107036917,0.889609949,6.08117e-4,0.06804511169929504,0.0719864168592568,0.001053289540946363,35.678972333333334,296.5366496666667,0.20270566666666667,22.681703899765015,23.995472286418956,0.3510965136487877,1.1158728725689775,0.33680503761163894
EKS_APT_S0H8,EKS,A,S0H8,186.5,0.2,0.2875,0.09130336833333333,0.20497118733333333,0.3918478813333333,0.30205296866666664,0.009593520999999999,0.024219814258155024,0.04888800495140285,0.055187821937006366,0.11849708723433014,0.010921847335703653,45.65168416666666,102.48559366666667,195.92394066666665,151.02648433333334,4.7967604999999995,12.109907129077511,24.444002475701435,27.59391096850319,59.248543617165076,5.4609236678518265,0.09130336833333333,0.8988720373333333,0.009593520999999999,0.024219814258155024,0.015195781966872362,0.010921847335703653,45.65168416666666,449.43601866666666,4.7967604999999995,12.109907129077511,7.597890983436171,5.4609236678518265,0.9960376760946207,0.2331903450482842
EKS_NPT_S0H1,EKS,N,S0H1,9.5,3.2,0.273668639,0.06606332533333334,0.16745877166666667,0.14499503833333333,0.163359925,0.457589821,0.022876342311236933,0.018019955009200447,0.0169036452435413,0.018220019699124037,0.0031123777748244203,2.064478916666667,5.233086614583333,4.5310949479166664,5.10499765625,14.29968190625,0.7148856972261544,0.563123594037514,0.5282389138606657,0.5693756155976265,0.0972618054632633,0.06606332533333334,0.475813735,0.457589821,0.022876342311236933,0.024186136716343988,0.0031123777748244203,2.064478916666667,14.869179218749998,14.29968190625,0.7148856972261544,0.7558167723857503,0.0972618054632633,1.7569072145961464,0.15390437493185927
EKS_NPT_S0H2,EKS,N,S0H2,28,2.2,0.224930362,0.07291654,0.23603254066666665,0.25814134366666663,0.233532883,0.19835526733333333,0.049200065158290764,0.039816411456781386,0.024852917379828313,0.07169964167054431,0.04902078239284963,3.3143881818181815,10.728751848484846,11.733697439393938,10.615131045454545,9.016148515151514,2.236366598104125,1.8098368843991541,1.1296780627194691,3.2590746213883777,2.228217381493165,0.07291654,0.7277067673333333,0.19835526733333333,0.049200065158290764,0.013751124331590443,0.04902078239284963,3.3143881818181815,33.07758033333333,9.016148515151514,2.236366598104125,0.6250511059813793,2.228217381493165,1.2612475825880407,0.40175498201019416
