SampleID,Site,Use,Replicate,MidDepth,SOC,Horizon,ppt,temp,pet,ari,ep,pptpet
HAY-N01-S005-20180508,HAY,N,1,2.5,3.12428,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N02-S005-20180508,HAY,N,2,2.5,3.15176,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N03-S005-20180508,HAY,N,3,2.5,3.58002,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N04-S005-20180508,HAY,N,4,2.5,3.06551,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N01-S015-20180508,HAY,N,1,10,1.56974,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N02-S015-20180508,HAY,N,2,10,1.55071,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N03-S015-20180508,HAY,N,3,10,1.66997,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N04-S015-20180508,HAY,N,4,10,1.51794,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N01-S030-20180508,HAY,N,1,22.5,1.05491,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N02-S030-20180508,HAY,N,2,22.5,1.08774,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N04-S030-20180508,HAY,N,4,22.5,1.14123,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N01-S075-20180508,HAY,N,1,52.5,0.556604,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N02-S075-20180508,HAY,N,2,52.5,0.632188,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N03-S075-20180508,HAY,N,3,52.5,0.6981,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N04-S075-20180508,HAY,N,4,52.5,0.684239,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N01-S150-20180508,HAY,N,1,112.5,0.421886,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N02-S150-20180508,HAY,N,2,112.5,0.276365,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-N03-S150-20180508,HAY,N,3,112.5,0.348007,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
