Site,Use,ppt,temp,pet,ari,ep,pptpet
EKS,N,1033.1676026363673,13.385093180358453,1505.000008999997,0.6693999767303467,-0.45668525141481364,0.6864900973142581
EKS,A,1025.307572825454,13.263226015618153,1496.000001320003,0.6628000140190125,-0.45907437043252863,0.6853660240112089
HAY,N,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY,A,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HNC,N,751.7821600077061,12.775867424481254,1671.9999817600037,0.42340001463890076,-1.22404849530197,0.44963048337856726
HNC,A,752.2278619765616,12.76708214494204,1664.999997600003,0.42500001192092896,-1.2134250561060478,0.45178850634285445
JEF,N,981.8105328098076,12.586926206252075,1468.0000160799962,0.6761000156402588,-0.49519685012828374,0.6688082575309083
JEF,A,959.1757085277405,12.642350303839635,1464.9999972400021,0.6420000195503235,-0.5273531056042506,0.6547274473274995
KNZ,N,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ,A,870.4229680070669,12.77657992438576,1525.9999886000003,0.5814999938011169,-0.7531706362183344,0.570395134016757
LGN,N,484.1533000528163,11.665682407812326,1867.000009600002,0.25049999356269836,-2.856216635095394,0.2593215305641827
LVN,N,1013.2666006865613,12.43531518212454,1452.0000058799958,0.6913999915122986,-0.4329891115488864,0.6978420086661524
RKS,N,655.5335209894395,11.99828763126363,1683.9999996400013,0.3601999878883362,-1.568899904764947,0.38927168713157767
RKS,A,642.0864906900147,11.981102830478896,1679.999999280002,0.3538999855518341,-1.6164699361212214,0.38219433986023443
SVR,N,491.8600924957724,11.708941422721134,1864.0000112800021,0.2574000060558319,-2.7896955653014754,0.2638734385833044
SVR,A,493.60183040967706,11.603919933442345,1857.9999976000006,0.26100000739097595,-2.764167560030941,0.26566298764653823
TLI,N,794.228546698196,13.314215858770053,1653.9999992800026,0.45559999346733093,-1.0825239865226308,0.48018654597577337
TLI,A,791.8329406365854,13.16291660968208,1670,0.45320001244544983,-1.1090307239017134,0.47415146145903314
TRB,N,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,A,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRG,N,598.2185405856119,12.086965860895296,1753.0000000000002,0.3199000060558319,-1.9303672171108945,0.341254158919345
TRG,A,597.7917794832445,12.097205237016748,1755.9999951999985,0.3199999928474426,-1.9374776560459837,0.340428121365205
